artist_name,record_label
Bad Bunny,Universal
The Weeknd,Universal
Drake,Universal
Taylor Swift,Universal
Post Malone,Universal
Ed Sheeran,Warner
Ariana Grande,Universal
Olivia Rodrigo,Universal
Eminem,Universal
Harry Styles,Columbia (Sony)
Imagine Dragons,Universal
XXXTENTACION,Universal
Billie Eilish,Universal
Justin Bieber,Universal
Travis Scott,Sony
Bruno Mars,Warner
Maroon 5,Universal
Doja Cat,Sony
Dua Lipa,Warner
Calvin Harris,Sony
Rihanna,Universal
Juice WRLD,Universal
KAROL G,Universal
Shawn Mendes,Universal
Miley Cyrus,Columbia (Sony)
Lil Nas X,Sony
Kendrick Lamar,Universal
Coldplay,Warner
Sam Smith,Universal
Marshmello,Independent
SZA,Sony
Sia,Sony
J Balvin,Universal
Adele,Sony
The Chainsmokers,Sony
BTS,Universal
Linkin Park,Warner
Arctic Monkeys,Warner
Lady Gaga,Universal
Rauw Alejandro,Sony
The Kid LAROI,Columbia (Sony)
Morgan Wallen,Warner
DJ Snake,Universal
Lil Uzi Vert,Warner
Avicii,Universal
Lewis Capaldi,Universal
Katy Perry,Universal
Lil Baby,Warner
Pop Smoke,Universal
BLACKPINK,Universal
Shakira,Sony
Kanye West,Universal
Future,Sony
Khalid,Warner
Metro Boomin,Universal
Maluma,Sony
J. Cole,Independent
21 Savage,Universal
