Artist,record_label,artist_avg_streams,label_avg_streams,pct_of_label_avg
The Chainsmokers,Sony,1705383852.5,793964463,214.79
Arctic Monkeys,Warner,1982151857.8,928115647,213.57
Harry Styles,Sony,1446115695.0,793964463,182.14
Avicii,Universal,1391535248.33333,780642447,178.26
Ed Sheeran,Warner,1600993359.33333,928115647,172.5
Maroon 5,Universal,1333359102.91667,780642447,170.8
Lil Nas X,Sony,1315574917.4,793964463,165.7
Eminem,Universal,1258592011.6,780642447,161.23
The Weeknd,Universal,1231618009.26667,780642447,157.77
Shawn Mendes,Universal,1225700190.63636,780642447,157.01
Justin Bieber,Universal,1189128663.35714,780642447,152.33
Post Malone,Universal,1188066952.63636,780642447,152.19
Bruno Mars,Warner,1352092623.16667,928115647,145.68
Adele,Sony,1156558384.66667,793964463,145.67
Sam Smith,Universal,1125433724.3,780642447,144.17
